,Accuracy,Accuracy,MCC,MCC,Sharpe_Ratio,Sharpe_Ratio,Final_Return,Final_Return
,mean,std,mean,std,mean,std,mean,std
Stock,,,,,,,,
AAPL,0.4451164874551971,0.008300025933268385,-0.032008181233590616,0.044634154580148605,0.7021819606916218,0.5461803205335879,0.05457184486859074,0.09173888261518148
AMZN,0.49417562724014336,0.024724255778464637,0.04038749348924371,0.05898735729985396,0.8767670636805239,0.7827110997440965,0.19437711510252118,0.1989532167329285
BNTX,0.4829749103942652,0.01982697732751159,5.7933867659424806e-05,0.0566530028765926,1.4132749699007108,0.7124343567978901,1.8153923716681108,1.2240563932753044
JPM,0.421594982078853,0.008264479620320793,-0.012180796859678744,0.027843864200833887,0.0835928242273699,0.43123299532227016,0.027247977797709325,0.11746538443260955
META,0.4480286738351254,0.007286953730932817,0.03441352223843558,0.043478413079778885,-0.0348920082908487,0.5793093331601358,-0.01188805521501958,0.04660070350799292
NFLX,0.47603046594982074,0.02595268372360119,-0.023537248133994836,0.053709956883398954,0.9905973741292626,0.5439467649910311,0.28300241130064296,0.20777938227983256
NVDA,0.4487007168458781,0.021354257974002352,-0.005725105929937444,0.02540486740336583,0.03993709878786854,0.3969160348848353,0.014800063442246976,0.05342374761626094
PEP,0.5114247311827956,0.02133419524922158,0.0156628814057501,0.04371727701035854,1.0359418914600005,0.4556779897938186,0.15411771632066892,0.09966122454809835
TSLA,0.5188172043010753,0.02317308942687403,0.038037888453424186,0.045974856987915966,2.4474469018041094,0.6274658992072228,3.3239447561792774,1.7637621195122306
